,date,maxtempF,mintempF,precipInches
0,2009-05-30,73,49,0.0
1,2009-05-31,69,55,0.0
2,2009-06-01,80,55,0.2
3,2009-06-02,74,58,0.6
4,2009-06-03,56,52,1.7
5,2009-06-04,64,48,0.0
6,2009-06-05,68,44,0.0
7,2010-05-30,88,60,0.0
8,2010-05-31,80,67,0.8
9,2010-06-01,83,64,0.0
10,2010-06-02,80,65,0.2
11,2010-06-03,77,63,0.2
12,2010-06-04,82,61,0.2
13,2010-06-05,75,69,0.7
14,2011-05-30,85,66,0.0
15,2011-05-31,86,68,0.0
16,2011-06-01,78,65,0.2
17,2011-06-02,76,58,0.0
18,2011-06-03,76,54,0.0
19,2011-06-04,86,60,0.6
20,2011-06-05,83,68,0.4
21,2012-05-30,74,59,0.0
22,2012-05-31,71,53,0.1
23,2012-06-01,58,49,1.1
24,2012-06-02,67,47,0.0
25,2012-06-03,74,52,0.0
26,2012-06-04,71,56,0.0
27,2012-06-05,65,51,0.1
28,2013-05-30,82,67,0.3
29,2013-05-31,78,67,0.4
30,2013-06-01,78,68,1.1
31,2013-06-02,71,54,0.3
32,2013-06-03,65,49,0.0
33,2013-06-04,70,48,0.0
34,2013-06-05,74,50,0.0
35,2014-05-30,77,53,0.0
36,2014-05-31,80,57,0.0
37,2014-06-01,82,59,0.0
38,2014-06-02,80,69,0.3
39,2014-06-03,81,64,0.4
40,2014-06-04,66,55,0.8
41,2014-06-05,71,53,0.0
42,2015-05-30,82,67,1.5
43,2015-05-31,61,50,0.7
44,2015-06-01,55,48,0.0
45,2015-06-02,68,46,0.0
46,2015-06-03,72,50,0.0
47,2015-06-04,79,57,0.0
48,2015-06-05,81,63,0.3
49,2016-05-30,81,64,0.1
50,2016-05-31,75,62,0.2
51,2016-06-01,83,63,0.1
52,2016-06-02,80,66,0.1
53,2016-06-03,80,60,0.0
54,2016-06-04,72,65,0.7
55,2016-06-05,74,61,0.2
56,2017-05-30,70,57,0.0
57,2017-05-31,71,55,0.1
58,2017-06-01,74,52,0.0
59,2017-06-02,77,52,0.0
60,2017-06-03,83,59,0.0
61,2017-06-04,81,64,1.2
62,2017-06-05,76,59,0.7
63,2018-05-30,82,71,0.7
64,2018-05-31,84,69,0.6
65,2018-06-01,82,67,0.5
66,2018-06-02,73,59,0.0
67,2018-06-03,76,64,0.1
68,2018-06-04,70,55,0.0
69,2018-06-05,70,57,0.2
70,2019-05-30,75,65,0.2
71,2019-05-31,79,61,0.1
72,2019-06-01,81,61,0.7
73,2019-06-02,68,54,0.3
74,2019-06-03,67,48,0.0
75,2019-06-04,77,55,0.0
76,2019-06-05,78,65,0.8
77,2020-05-30,64,47,0.0
78,2020-05-31,62,47,0.0
79,2020-06-01,66,48,0.0
80,2020-06-02,78,58,0.1
81,2020-06-03,81,67,0.7
82,2020-06-04,81,65,1.2
83,2020-06-05,84,67,0.2
